series_id,series_name,trust,reject_reason,leverage,reset,underlying_token
S000002147,T. Rowe Price Maryland Short-Term Tax-Free Bond Fund,"T. Rowe Price State Tax-Free Funds, Inc.",product_type,,unknown,T. Rowe Price Maryland Short-Term Tax-Free Bond
S000002165,"T. Rowe Price Tax-Free Short-Intermediate Fund, Inc.","T. Rowe Price Tax-Free Short-Intermediate Fund, Inc.",product_type,,unknown,T. Rowe Price Tax-Free Short-Intermediate
S000002335,BlackRock Short Duration Muni Fund,"BLACKROCK MUNICIPAL BOND FUND, INC.",product_type,,unknown,BlackRock Duration Muni
S000002563,VANGUARD SHORT-TERM BOND INDEX FUND,VANGUARD BOND INDEX FUNDS,product_type,,unknown,VANGUARD SHORT-TERM BOND INDEX
S000002583,VANGUARD SHORT-TERM TREASURY FUND,VANGUARD FIXED INCOME SECURITIES FUNDS,product_type,,unknown,VANGUARD SHORT-TERM TREASURY
S000002590,VANGUARD SHORT-TERM FEDERAL FUND,VANGUARD FIXED INCOME SECURITIES FUNDS,product_type,,unknown,VANGUARD SHORT-TERM FEDERAL
S000002591,VANGUARD SHORT-TERM INVESTMENT-GRADE FUND,VANGUARD FIXED INCOME SECURITIES FUNDS,product_type,,unknown,VANGUARD SHORT-TERM INVESTMENT-GRADE
S000002756,CHANNEL SHORT DURATION INCOME FUND,UNIFIED SERIES TRUST,product_type,,unknown,CHANNEL DURATION INCOME
S000002897,VANGUARD ULTRA-SHORT-TERM TAX-EXEMPT FUND,VANGUARD MUNICIPAL BOND FUNDS,product_type,-2.0,unknown,VANGUARD ULTRA-SHORT-TERM TAX-EXEMPT
S000003059,BULL PROFUND,ProFunds,no_leverage_parsed,,daily,PROFUND
S000003062,ULTRABULL PROFUND,ProFunds,no_leverage_parsed,,daily,ULTRABULL PROFUND
S000003066,ULTRANASDAQ-100 PROFUND,ProFunds,no_leverage_parsed,,daily,ULTRANASDAQ-100 PROFUND
S000003076,BEAR PROFUND,ProFunds,no_leverage_parsed,,daily,PROFUND
S000003077,SHORT REAL ESTATE PROFUND,ProFunds,no_leverage_parsed,,daily,REAL ESTATE PROFUND
S000003078,SHORT SMALL CAP PROFUND,ProFunds,no_leverage_parsed,,daily,SMALL CAP PROFUND
S000003079,SHORT NASDAQ-100 PROFUND,ProFunds,no_leverage_parsed,,daily,NASDAQ-100 PROFUND
S000003080,ULTRABEAR PROFUND,ProFunds,no_leverage_parsed,,daily,ULTRABEAR PROFUND
S000003085,SHORT ENERGY PROFUND,ProFunds,no_leverage_parsed,,daily,ENERGY PROFUND
S000003091,BANKS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,BANKS ULTRASECTOR PROFUND
S000003092,INTERNET ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,INTERNET ULTRASECTOR PROFUND
S000003093,PHARMACEUTICALS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,PHARMACEUTICALS ULTRASECTOR PROFUND
S000003094,PRECIOUS METALS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,PRECIOUS METALS ULTRASECTOR PROFUND
S000003095,REAL ESTATE ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,REAL ESTATE ULTRASECTOR PROFUND
S000003096,SEMICONDUCTOR ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,SEMICONDUCTOR ULTRASECTOR PROFUND
S000003097,TECHNOLOGY ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,TECHNOLOGY ULTRASECTOR PROFUND
S000003098,TELECOMMUNICATIONS ULTRASECTOR PROFUND,ProFunds,product_type,,daily,TELECOMMUNICATIONS ULTRASECTOR PROFUND
S000003099,UTILITIES ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,UTILITIES ULTRASECTOR PROFUND
S000003100,COMMUNICATION SERVICES ULTRASECTOR PROFUND,ProFunds,product_type,,daily,COMMUNICATION SERVICES ULTRASECTOR PROFUND
S000003102,MATERIALS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,MATERIALS ULTRASECTOR PROFUND
S000003107,BIOTECHNOLOGY ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,BIOTECHNOLOGY ULTRASECTOR PROFUND
S000003108,CONSUMER DISCRETIONARY ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,CONSUMER DISCRETIONARY ULTRASECTOR PROFUND
S000003109,CONSUMER STAPLES ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,CONSUMER STAPLES ULTRASECTOR PROFUND
S000003110,ENERGY ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,ENERGY ULTRASECTOR PROFUND
S000003111,FINANCIALS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,FINANCIALS ULTRASECTOR PROFUND
S000003112,HEALTH CARE ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,HEALTH CARE ULTRASECTOR PROFUND
S000003113,INDUSTRIALS ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,INDUSTRIALS ULTRASECTOR PROFUND
S000003156,DIAMOND HILL LONG SHORT FUND,DIAMOND HILL FUNDS,product_type,,unknown,DIAMOND HILL
S000003218,HARTFORD ULTRASHORT BOND HLS FUND,HARTFORD SERIES FUND INC,product_type,-2.0,unknown,HARTFORD BOND HLS
S000003278,ACCESS FLEX BEAR HIGH YIELD FUND,Access One Trust,product_type,,unknown,ACCESS FLEX HIGH YIELD
S000003483,Short Duration Income Fund,WEITZ FUNDS,product_type,,unknown,Duration Income
S000003484,Ultra Short Government Fund,WEITZ FUNDS,product_type,-2.0,unknown,Government
S000003490,JPMorgan Short Duration Bond Fund,JPMORGAN TRUST II,product_type,,unknown,JPMorgan Duration Bond
S000003499,JPMorgan Short-Intermediate Municipal Bond Fund,JPMORGAN TRUST II,product_type,,unknown,JPMorgan Short-Intermediate Municipal Bond
S000003547,Sterling Capital Short Duration Bond Fund,STERLING CAPITAL FUNDS,product_type,,unknown,Sterling Duration Bond
S000003596,THE HARTFORD SHORT DURATION FUND,"HARTFORD MUTUAL FUNDS, INC",product_type,,unknown,HARTFORD DURATION
S000003684,Government Long Bond 1.2x Strategy Fund,RYDEX SERIES FUNDS,product_type,1.2,unknown,Government Bond Strategy
S000003685,Mid-Cap 1.5x Strategy Fund,RYDEX SERIES FUNDS,product_type,1.5,unknown,Mid-Cap Strategy
S000003686,Long Short Equity Fund,RYDEX SERIES FUNDS,product_type,,unknown,Equity
S000003690,Inverse Government Long Bond Strategy Fund,RYDEX SERIES FUNDS,product_type,,unknown,Government Bond Strategy
S000003692,Inverse S&P 500 Strategy Fund,RYDEX SERIES FUNDS,product_type,,unknown,S&P 500 Strategy
S000003694,Inverse NASDAQ-100 Strategy Fund,RYDEX SERIES FUNDS,product_type,,unknown,NASDAQ-100 Strategy
S000003695,Europe 1.25x Strategy Fund,RYDEX SERIES FUNDS,product_type,1.25,unknown,Europe Strategy
S000003697,Russell 2000 1.5x Strategy Fund,RYDEX SERIES FUNDS,product_type,1.5,unknown,Russell 2000 Strategy
S000003698,S&P 500 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,2.0,unknown,S&P 500 Strategy
S000003702,Inverse S&P 500 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,-2.0,unknown,S&P 500 Strategy
S000003703,NASDAQ-100(R) 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,2.0,unknown,NASDAQ-100 Strategy
S000003704,Inverse NASDAQ-100(R) 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,-2.0,unknown,NASDAQ-100 Strategy
S000003705,Dow 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,2.0,unknown,Dow Strategy
S000003706,Inverse Dow 2x Strategy Fund,RYDEX DYNAMIC FUNDS,product_type,-2.0,unknown,Dow Strategy
S000003721,Government Long Bond 1.2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,1.2,unknown,Government Bond Strategy
S000003727,Mid-Cap 1.5x Strategy Fund,RYDEX VARIABLE TRUST,product_type,1.5,unknown,Mid-Cap Strategy
S000003728,Russell 2000(R) 1.5x Strategy Fund,RYDEX VARIABLE TRUST,product_type,1.5,unknown,Russell 2000 Strategy
S000003729,Long Short Equity Fund,RYDEX VARIABLE TRUST,product_type,,unknown,Equity
S000003731,Weakening Dollar 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,Weakening Dollar Strategy
S000003733,Strengthening Dollar 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,Strengthening Dollar Strategy
S000003735,Inverse Government Long Bond Strategy Fund,RYDEX VARIABLE TRUST,product_type,,unknown,Government Bond Strategy
S000003745,Inverse Mid-Cap Strategy Fund,RYDEX VARIABLE TRUST,product_type,,unknown,Mid-Cap Strategy
S000003746,Inverse Russell 2000(R) Strategy Fund,RYDEX VARIABLE TRUST,product_type,,unknown,Russell 2000 Strategy
S000003749,Europe 1.25x Strategy Fund,RYDEX VARIABLE TRUST,product_type,1.25,unknown,Europe Strategy
S000003750,Japan 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,Japan Strategy
S000003751,S&P 500 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,S&P 500 Strategy
S000003752,NASDAQ-100(R) 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,NASDAQ-100 Strategy
S000003753,Dow 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,2.0,unknown,Dow Strategy
S000003754,Inverse S&P 500 Strategy Fund,RYDEX VARIABLE TRUST,product_type,,unknown,S&P 500 Strategy
S000003755,Inverse Dow 2x Strategy Fund,RYDEX VARIABLE TRUST,product_type,-2.0,unknown,Dow Strategy
S000003757,Inverse NASDAQ-100(R) Strategy Fund,RYDEX VARIABLE TRUST,product_type,,unknown,NASDAQ-100 Strategy
S000003761,Weakening Dollar 2x Strategy Fund,RYDEX SERIES FUNDS,product_type,2.0,unknown,Weakening Dollar Strategy
S000003771,Inverse Mid-Cap Strategy Fund,RYDEX SERIES FUNDS,product_type,,unknown,Mid-Cap Strategy
S000003772,Inverse Russell 2000 Strategy Fund,RYDEX SERIES FUNDS,product_type,,unknown,Russell 2000 Strategy
S000003775,Strengthening Dollar 2x Strategy Fund,RYDEX SERIES FUNDS,product_type,2.0,unknown,Strengthening Dollar Strategy
S000003785,MML Barings Short-Duration Bond Fund,MASSMUTUAL PREMIER FUNDS,product_type,,unknown,MML Barings Short-Duration Bond
S000003913,Nomura Ultrashort Fund,DELAWARE GROUP CASH RESERVE,product_type,-2.0,unknown,Nomura
S000003955,PROFUND VP ULTRABULL,ProFunds,no_leverage_parsed,,daily,PROFUND VP ULTRABULL
S000003956,PROFUND VP ULTRAMID CAP,ProFunds,no_leverage_parsed,,daily,PROFUND VP ULTRAMID CAP
S000003958,PROFUND VP ULTRANASDAQ-100,ProFunds,no_leverage_parsed,,daily,PROFUND VP ULTRANASDAQ-100
S000003959,PROFUND VP BEAR,ProFunds,no_leverage_parsed,,daily,PROFUND VP
S000003960,PROFUND VP SHORT MID CAP,ProFunds,no_leverage_parsed,,daily,PROFUND VP MID CAP
S000003961,PROFUND VP BULL,ProFunds,no_leverage_parsed,,daily,PROFUND VP
S000003962,PROFUND VP SHORT SMALL CAP,ProFunds,no_leverage_parsed,,daily,PROFUND VP SMALL CAP
S000003963,PROFUND VP SHORT NASDAQ-100,ProFunds,no_leverage_parsed,,daily,PROFUND VP NASDAQ-100
S000004119,Short Duration Income Portfolio,MORGAN STANLEY INSTITUTIONAL FUND TRUST,product_type,,unknown,Duration Income Portfolio
S000004393,SHORT-TERM INVESTMENT-GRADE PORTFOLIO,VANGUARD VARIABLE INSURANCE FUNDS,product_type,,unknown,SHORT-TERM INVESTMENT-GRADE PORTFOLIO
S000004423,Ultra-Small Company Fund,BRIDGEWAY FUNDS INC,product_type,2.0,unknown,Ultra-Small Company
S000004424,Ultra-Small Company Market Fund,BRIDGEWAY FUNDS INC,product_type,2.0,unknown,Ultra-Small Company Market
S000004469,SHORT PRECIOUS METALS PROFUND,ProFunds,no_leverage_parsed,,daily,PRECIOUS METALS PROFUND
S000004473,OIL & GAS EQUIPMENT & SERVICES ULTRASECTOR PROFUND,ProFunds,no_leverage_parsed,,daily,OIL GAS EQUIPMENT SERVICES ULTRASECTOR PROFUND
S000004538,PGIM Core Short-Term Bond Fund,PRUDENTIAL INVESTMENT PORTFOLIOS 2,product_type,,unknown,PGIM Core Short-Term Bond
S000004539,PGIM Core Ultra Short Bond Fund,PRUDENTIAL INVESTMENT PORTFOLIOS 2,product_type,-2.0,unknown,PGIM Core Bond
S000004769,PGIM Short-Term Corporate Bond Fund,"PRUDENTIAL SHORT-TERM CORPORATE BOND FUND, INC.",product_type,,unknown,PGIM Short-Term Corporate Bond
S000004787,USGI U.S. GOVERNMENT SECURITIES ULTRA-SHORT BOND FUND,US GLOBAL INVESTORS FUNDS,product_type,-2.0,unknown,USGI U.S. GOVERNMENT SECURITIES ULTRA-SHORT BOND
S000004825,Eaton Vance National Ultra-Short Municipal Income Fund,Eaton Vance Investment Trust,product_type,-2.0,unknown,Eaton Vance National Ultra-Short Municipal Income
S000004826,Eaton Vance Short Duration Municipal Opportunities Fund,Eaton Vance Investment Trust,product_type,,unknown,Eaton Vance Duration Municipal Opportunities
S000005065,PIA Short-Term Securities Fund,ADVISORS SERIES TRUST,product_type,,unknown,PIA Short-Term Securities
S000005113,Fidelity Advisor Leveraged Company Stock Fund,FIDELITY ADVISOR SERIES I,product_type,,unknown,Fidelity Advisor Company Stock
S000005150,Calvert Short Duration Income Fund,Calvert Fund,product_type,,unknown,Calvert Duration Income
S000005290,Eaton Vance Short Duration Government Income Fund,Eaton Vance Mutual Funds Trust,product_type,,unknown,Eaton Vance Duration Government Income
S000005301,Eaton Vance Short Duration Strategic Income Fund,EATON VANCE MUTUAL FUNDS TRUST,product_type,,unknown,Eaton Vance Duration Strategic Income
S000005421,NVIT Loomis Short Term High Yield Fund,NATIONWIDE VARIABLE INSURANCE TRUST,product_type,,unknown,NVIT Loomis Term High Yield
S000005564,Nuveen Short Term Municipal Bond Fund,NUVEEN INVESTMENT FUNDS INC,product_type,,unknown,Nuveen Term Municipal Bond
S000005613,Wilmington Short-Term Bond Fund,WILMINGTON FUNDS,product_type,,unknown,Wilmington Short-Term Bond
S000005722,JOHNSON INSTITUTIONAL SHORT DURATION BOND FUND,JOHNSON MUTUAL FUNDS TRUST,product_type,,unknown,JOHNSON INSTITUTIONAL DURATION BOND
S000005970,Short-Term Government Fund,AMERICAN CENTURY GOVERNMENT INCOME TRUST,product_type,,unknown,Short-Term Government
S000006017,Short-Term Treasury Portfolio,PERMANENT PORTFOLIO FAMILY OF FUNDS,product_type,,unknown,Short-Term Treasury Portfolio
S000006195, Ultra Fund,"AMERICAN CENTURY MUTUAL FUNDS, INC.",product_type,2.0,unknown,
S000006328,TCW Short Term Bond Fund,TCW FUNDS INC,product_type,,unknown,TCW Term Bond
S000006430,SHORT DURATION MUNICIPAL FUND,SEI TAX EXEMPT TRUST,product_type,,unknown,DURATION MUNICIPAL
S000006457,Touchstone Funds Group Trust-Touchstone Ultra Short Duration Fixed Income Fund,TOUCHSTONE FUNDS GROUP TRUST,product_type,-2.0,unknown,Touchstone Funds Group Trust-Touchstone Duration Fixed Income
S000006534,BlackRock Ultra-Short Term Bond Portfolio,Brighthouse Funds Trust II,product_type,-2.0,unknown,BlackRock Ultra-Short Term Bond Portfolio
S000006581,Short Duration Inflation Protection Bond Fund,AMERICAN CENTURY INVESTMENT TRUST,product_type,,unknown,Duration Inflation Protection Bond
S000006717,VP Ultra Fund,AMERICAN CENTURY VARIABLE PORTFOLIOS INC,product_type,2.0,unknown,VP
S000007007,Fidelity Short-Term Bond Fund,FIDELITY SALEM STREET TRUST,product_type,,unknown,Fidelity Short-Term Bond
S000007025,Direxion Monthly 7-10 Year Treasury Bull 1.75X Fund,DIREXION FUNDS,product_type,1.75,monthly,Monthly 7-10 Year Treasury
S000007037,Direxion Monthly Emerging Markets Bull 2X Fund,DIREXION FUNDS,product_type,2.0,monthly,Monthly Emerging Markets
S000007044,Direxion Monthly Small Cap Bull 1.75X Fund,DIREXION FUNDS,product_type,1.75,monthly,Monthly Small Cap
S000007045,Direxion Monthly Small Cap Bear 1.75X Fund,DIREXION FUNDS,product_type,-1.75,monthly,Monthly Small Cap
S000007050,Direxion Monthly 7-10 Year Treasury Bear 1.75X Fund,DIREXION FUNDS,product_type,-1.75,monthly,Monthly 7-10 Year Treasury
S000007200,Fidelity Leveraged Company Stock Fund,FIDELITY SECURITIES FUND,product_type,,unknown,Fidelity Company Stock
S000007279,Lord Abbett Short Duration Income Fund,LORD ABBETT INVESTMENT TRUST,product_type,,unknown,Lord Abbett Duration Income
S000007411,Allspring Short-Term Municipal Bond Fund,ALLSPRING FUNDS TRUST,product_type,,unknown,Allspring Short-Term Municipal Bond
S000007412,Allspring Ultra Short-Term Municipal Income Fund,ALLSPRING FUNDS TRUST,product_type,-2.0,unknown,Allspring Short-Term Municipal Income
S000007419,Allspring Short Duration Government Bond Fund,ALLSPRING FUNDS TRUST,product_type,,unknown,Allspring Duration Government Bond
S000007427,Allspring Short-Term Bond Plus Fund,ALLSPRING FUNDS TRUST,product_type,,unknown,Allspring Short-Term Bond
S000007428,Allspring Short-Term High Income Fund,ALLSPRING FUNDS TRUST,product_type,,unknown,Allspring Short-Term High Income
S000007431,Allspring Ultra Short-Term Income Fund,ALLSPRING FUNDS TRUST,product_type,-2.0,unknown,Allspring Short-Term Income
S000007799,Transamerica Short-Term Bond,TRANSAMERICA FUNDS,product_type,,unknown,Transamerica Short-Term Bond
S000007831,Neuberger Berman Short Duration Bond Fund,NEUBERGER BERMAN INCOME FUNDS,product_type,,unknown,Neuberger Berman Duration Bond
S000008075,SA JPMorgan Ultra-Short Bond Portfolio,SUNAMERICA SERIES TRUST,product_type,-2.0,unknown,SA JPMorgan Ultra-Short Bond Portfolio
S000008198,Short Duration Bond Portfolio,NEUBERGER BERMAN ADVISERS MANAGEMENT TRUST,product_type,,unknown,Duration Bond Portfolio
S000008266,SDIT Ultra Short Duration Bond Fund,SEI DAILY INCOME TRUST /MA/,product_type,-2.0,unknown,SDIT Duration Bond
S000008267,SDIT Short Duration Government Fund,SEI DAILY INCOME TRUST /MA/,product_type,,unknown,SDIT Duration Government
S000008426,YORKTOWN SHORT-TERM BOND FD,AMERICAN PENSION INVESTORS TRUST,product_type,,unknown,YORKTOWN SHORT-TERM BOND FD
S000008598,William Blair Short Duration Bond Fund,WILLIAM BLAIR FUNDS,product_type,,unknown,William Blair Duration Bond
S000008660,Transamerica Asset Allocation-Short Horizon Subaccount,TRANSAMERICA ASSET ALLOCATION VARIABLE FUNDS,no_leverage_parsed,,unknown,Transamerica Asset Allocation-Short Horizon Subaccount
S000008789,Ultra-Short Bond Fund,AMERICAN FUNDS INSURANCE SERIES,product_type,-2.0,unknown,Ultra-Short Bond
S000008839,ULTRAEMERGING MARKETS PROFUND,ProFunds,no_leverage_parsed,,daily,ULTRAEMERGING MARKETS PROFUND
S000008841,PROFUND VP SHORT EMERGING MARKETS,ProFunds,no_leverage_parsed,,daily,PROFUND VP EMERGING MARKETS
S000008842,PROFUND VP SHORT INTERNATIONAL,ProFunds,no_leverage_parsed,,daily,PROFUND VP INTERNATIONAL
S000008846,ULTRAINTERNATIONAL PROFUND,ProFunds,no_leverage_parsed,,daily,ULTRAINTERNATIONAL PROFUND
S000008897,Ultra Short Mortgage Fund,ASSET MANAGEMENT FUND,product_type,-2.0,unknown,Mortgage
S000008975,Western Asset Short Duration High Income Fund,LEGG MASON PARTNERS INCOME TRUST,product_type,,unknown,Western Asset Duration High Income
S000009041,Federated Hermes Short-Intermediate Government Fund,Federated Hermes Short-Intermediate Government Trust,product_type,,unknown,Federated Hermes Short-Intermediate Government
S000009065,Federated Hermes Short-Term Government Fund,Federated Hermes Short-Term Government Trust,product_type,,unknown,Federated Hermes Short-Term Government
S000009077,Federated Hermes Short-Term Income Fund,Federated Hermes Income Securities Trust,product_type,,unknown,Federated Hermes Short-Term Income
S000009085,Federated Hermes Short-Intermediate Municipal Fund,Federated Hermes Short-Intermediate Duration Municipal Trust,product_type,,unknown,Federated Hermes Short-Intermediate Municipal
S000009195,EQ/PIMCO Ultra Short Bond Portfolio,EQ ADVISORS TRUST,product_type,-2.0,unknown,EQ/PIMCO Bond Portfolio
S000009233,American Funds Short-Term Tax-Exempt Bond Fund,AMERICAN FUNDS SHORT-TERM TAX-EXEMPT BOND FUND,product_type,,unknown,American Funds Short-Term Tax-Exempt Bond
S000009241,Goldman Sachs Short Duration Tax-Free Fund,GOLDMAN SACHS TRUST,product_type,,unknown,Goldman Sachs Duration Tax-Free
S000009303,Goldman Sachs Short Duration Government Fund,GOLDMAN SACHS TRUST,product_type,,unknown,Goldman Sachs Duration Government
S000009384,The Short-Term Municipal Bond Portfolio,HC CAPITAL TRUST,product_type,,unknown,Short-Term Municipal Bond Portfolio
S000009662,PIMCO Short-Term Portfolio,PIMCO VARIABLE INSURANCE TRUST,product_type,,unknown,PIMCO Short-Term Portfolio
S000009702,PIMCO Short Duration Municipal Income Fund,PIMCO FUNDS,product_type,,unknown,PIMCO Duration Municipal Income
S000009703,PIMCO Short-Term Fund,PIMCO FUNDS,product_type,,unknown,PIMCO Short-Term
S000009706,PIMCO StocksPLUS Short Fund,PIMCO FUNDS,product_type,,unknown,PIMCO StocksPLUS
S000009713,PIMCO Emerging Markets Currency and Short-Term Investments Fund,PIMCO FUNDS,product_type,,unknown,PIMCO Emerging Markets Currency Short-Term Investments
S000009738,Federated Hermes Municipal Ultrashort Fund,"Federated Hermes Fixed Income Securities, Inc.",product_type,-2.0,unknown,Federated Hermes Municipal
S000009740,Federated Hermes Government Ultrashort Fund,Federated Hermes Institutional Trust,product_type,-2.0,unknown,Federated Hermes Government
S000009741,Federated Hermes Short-Intermediate Total Return Bond Fund,Federated Hermes Institutional Trust,product_type,,unknown,Federated Hermes Short-Intermediate Total Return Bond
S000009844,PIMCO ABS and Short-Term Investments Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO ABS Short-Term Investments Portfolio
S000009845,PIMCO Short-Term Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO Short-Term Portfolio
S000009847,PIMCO U.S. Government and Short-Term Investments Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO U.S. Government Short-Term Investments Portfolio
S000009848,PIMCO EM Bond and Short-Term Investments Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO EM Bond Short-Term Investments Portfolio
S000009850,PIMCO High Yield and Short-Term Investments Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO High Yield Short-Term Investments Portfolio
S000009853,PIMCO Mortgage and Short-Term Investments Portfolio,PIMCO FUNDS,product_type,,unknown,PIMCO Mortgage Short-Term Investments Portfolio
S000009983,Ultra-Short Duration Portfolio,TRUST FOR CREDIT UNIONS,product_type,-2.0,unknown,Ultra-Short Duration Portfolio
S000009984,Short Duration Portfolio,TRUST FOR CREDIT UNIONS,product_type,,unknown,Duration Portfolio
S000010031,The Short Term Government Fund,COMMERCE FUNDS,product_type,,unknown,Term Government
S000010228,Pioneer Short Term Income Fund,PIONEER SHORT TERM INCOME FUND,product_type,,unknown,Pioneer Term Income
S000010479,Janus Henderson Short Duration Flexible Bond Fund,JANUS INVESTMENT FUND,product_type,,unknown,Janus Henderson Duration Flexible Bond
S000010525,Short-Term Government Securities Fund,HOMESTEAD FUNDS INC,product_type,,unknown,Short-Term Government Securities
S000010526,Short-Term Bond Fund,HOMESTEAD FUNDS INC,product_type,,unknown,Short-Term Bond
S000010707,JNL/T. Rowe Price Short-Term Bond Fund,JNL SERIES TRUST,product_type,,unknown,JNL/T. Rowe Price Short-Term Bond
S000010777,Columbia Short Term Bond Fund,COLUMBIA FUNDS SERIES TRUST,product_type,,unknown,Columbia Term Bond
S000010778,Columbia Short Duration Municipal Bond Fund,COLUMBIA FUNDS SERIES TRUST,product_type,,unknown,Columbia Duration Municipal Bond
S000010898,Federated Hermes Ultrashort Bond Fund,"Federated Hermes Total Return Series, Inc.",product_type,-2.0,unknown,Federated Hermes Bond
S000011053,Short Duration Plus Portfolio,BERNSTEIN SANFORD C FUND INC,product_type,,unknown,Duration Portfolio
