price_ticker,venue
PTIR,Nasdaq
PLTU,Nasdaq
PLTG,Nasdaq
PLTA,NYSE Arca
PLUL,Nasdaq
PONX,Cboe BZX
PYPG,Nasdaq
PYPU,
QBTZ,Nasdaq
QBTX,Cboe BZX
QCMD,Nasdaq
QCML,Nasdaq
QCMU,Nasdaq
QSU,NYSE Arca
QUBX,Cboe BZX
RBLU,Cboe BZX
RDTL,Nasdaq
RGTX,Nasdaq
RGTU,Cboe BZX
RIOX,NYSE Arca
RVNL,Nasdaq
RKLZ,Nasdaq
RKLX,Nasdaq
RTXG,Nasdaq
SBTU,Cboe BZX
SHPU,Nasdaq
SMCZ,Nasdaq
SMCX,Nasdaq
SMCL,Nasdaq
SMZ,Cboe BZX
SMUP,Cboe BZX
SMU,Cboe BZX
SNXX,Cboe BZX
SNDU,Cboe BZX
SNOU,Cboe BZX
SOFX,Nasdaq
SOFA,Nasdaq
SOUX,Nasdaq
TEMT,Cboe BZX
TSLQ,Nasdaq
TSLZ,Cboe BZX
TSDD,Nasdaq
TSLS,Nasdaq
TSL,Nasdaq
TSLL,Nasdaq
TSLT,Cboe BZX
TSLR,Nasdaq
TSLG,Nasdaq
TSLI,NYSE Arca
STSM,NYSE Arca
TSMZ,Nasdaq
TSMG,Nasdaq
TSMU,Nasdaq
TSMX,Nasdaq
TSMU,Nasdaq
TTDU,Cboe BZX
TXNU,
UNX,Cboe BZX
UBRL,Nasdaq
UNHG,Nasdaq
UNHU,
UPSX,Cboe BZX
USAX,Cboe BZX
VELL,
VRTL,Nasdaq
VSTL,Nasdaq
WDCX,Cboe BZX
WULX,Cboe BZX
WYFL,
XNDX,
XOMX,Nasdaq
XYZG,Nasdaq
